"Development Name","Borough","Location","TDS #","Revenue Month","max_hcf","max_charge"
"CONLON LIHFE TOWER","QUEENS","BLD 01","232","2015-05",1745,16722.34
"SOUTH JAMAICA I","QUEENS","BLD 08","8","2015-05",1101,10550.88
"SOUTH JAMAICA I","QUEENS","BLD 10","8","2015-05",1101,10550.88
"SOUTH JAMAICA I","QUEENS","BLD 03","8","2015-05",1101,10550.88
"SOUTH JAMAICA I","QUEENS","BLD 02","8","2015-05",1101,10550.88
"SOUTH JAMAICA I","QUEENS","BLD 05","8","2015-05",1101,10550.88
"SOUTH JAMAICA I","QUEENS","BLD 07","8","2015-05",1101,10550.88
"SOUTH JAMAICA I","QUEENS","BLD 09","8","2015-05",1101,10550.88
"SOUTH JAMAICA I","QUEENS","BLD 01","8","2015-05",1101,10550.88
"SOUTH JAMAICA I","QUEENS","BLD 11","8","2015-05",1101,10550.88
"SOUTH JAMAICA I","QUEENS","BLD 04","8","2015-05",1101,10550.88
"SOUTH JAMAICA I","QUEENS","BLD 06","8","2015-05",1101,10550.88
"SHELTON HOUSE","QUEENS","BLD 01","279","2015-05",1021,9784.24
"SOUTH JAMAICA II","QUEENS","BLD 19","66","2015-05",998,9563.83
"SOUTH JAMAICA II","QUEENS","BLD 15","66","2015-05",998,9563.83
"SOUTH JAMAICA II","QUEENS","BLD 16","66","2015-05",998,9563.83
"SOUTH JAMAICA II","QUEENS","BLD 13","66","2015-05",998,9563.83
"SOUTH JAMAICA II","QUEENS","BLD 22","66","2015-05",998,9563.83
"SOUTH JAMAICA II","QUEENS","BLD 15","66","2015-05",998,9563.83
"SOUTH JAMAICA II","QUEENS","BLD 18","66","2015-05",998,9563.83
"SOUTH JAMAICA II","QUEENS","BLD 23","66","2015-05",998,9563.83
"SOUTH JAMAICA II","QUEENS","BLD 26","66","2015-05",998,9563.83
"SOUTH JAMAICA II","QUEENS","BLD 14","66","2015-05",998,9563.83
"SOUTH JAMAICA II","QUEENS","BLD 25","66","2015-05",998,9563.83
"SOUTH JAMAICA II","QUEENS","BLD 21","66","2015-05",998,9563.83
"SOUTH JAMAICA II","QUEENS","BLD 27","66","2015-05",998,9563.83
"SOUTH JAMAICA II","QUEENS","BLD 17","66","2015-05",998,9563.83
"SOUTH JAMAICA II","QUEENS","BLD 24","66","2015-05",998,9563.83
"SOUTH JAMAICA II","QUEENS","BLD 20","66","2015-05",998,9563.83
"SOUTH JAMAICA II","QUEENS","BLD 12","66","2015-05",998,9563.83
"INTERNATIONAL TOWER","QUEENS","BLD 01","316","2015-05",925,8864.28
"QUEENSBRIDGE NORTH","QUEENS","BLD 11","505","2015-05",825,7905.98
"BAISLEY PARK","QUEENS","BLD 02","91","2015-05",825,7905.98
"BAISLEY PARK","QUEENS","BLD 09","91","2015-05",825,7905.98
"BAISLEY PARK","QUEENS","BLD 03","91","2015-05",825,7905.98
"BAISLEY PARK","QUEENS","BLD 05","91","2015-05",825,7905.98
"BAISLEY PARK","QUEENS","BLD 04","91","2015-05",825,7905.98
"BAISLEY PARK","QUEENS","BLD 01","91","2015-05",825,7905.98
"QUEENSBRIDGE SOUTH","QUEENS","BLD 14&16","5","2015-05",361,3459.46
"REHAB PROGRAM (COLLEGE POINT)","QUEENS","BLD 01","143","2015-05",42,402.49
"OCEAN BAY APARTMENTS (OCEANSIDE)","QUEENS",NULL,"51","2015-05",0,38.07
